Title,Description,Class Index,text,Predicted
Local team wins championship,The innovation could improve future technologies.,,Local team wins championship The innovation could improve future technologies.,2
Government announces economic policy,Experts believe the technology could expand rapidly.,,Government announces economic policy Experts believe the technology could expand rapidly.,3
Government announces economic policy,Experts believe the technology could expand rapidly.,,Government announces economic policy Experts believe the technology could expand rapidly.,3
Sports league announces new season schedule,The team dominated throughout the match.,,Sports league announces new season schedule The team dominated throughout the match.,2
Government announces economic policy,Experts say the development could change the industry.,,Government announces economic policy Experts say the development could change the industry.,3
Government announces economic policy,Experts say the development could change the industry.,,Government announces economic policy Experts say the development could change the industry.,3
Stock markets rise after earnings report,Experts say the development could change the industry.,,Stock markets rise after earnings report Experts say the development could change the industry.,3
Tech companies expand AI research,The innovation could improve future technologies.,,Tech companies expand AI research The innovation could improve future technologies.,4
Scientists discover new planet,Officials discussed the plan during a press conference.,,Scientists discover new planet Officials discussed the plan during a press conference.,4
Local team wins championship,The research was published earlier this week.,,Local team wins championship The research was published earlier this week.,2
Local team wins championship,The team dominated throughout the match.,,Local team wins championship The team dominated throughout the match.,2
New medical breakthrough announced,The research was published earlier this week.,,New medical breakthrough announced The research was published earlier this week.,4
Tech companies expand AI research,The research was published earlier this week.,,Tech companies expand AI research The research was published earlier this week.,4
Scientists develop new renewable energy method,Officials discussed the plan during a press conference.,,Scientists develop new renewable energy method Officials discussed the plan during a press conference.,4
Sports league announces new season schedule,The innovation could improve future technologies.,,Sports league announces new season schedule The innovation could improve future technologies.,2
Tech startup raises millions in funding,Experts say the development could change the industry.,,Tech startup raises millions in funding Experts say the development could change the industry.,4
Local team wins championship,Experts say the development could change the industry.,,Local team wins championship Experts say the development could change the industry.,4
Sports league announces new season schedule,Analysts are closely watching the market reaction.,,Sports league announces new season schedule Analysts are closely watching the market reaction.,2
Scientists develop new renewable energy method,The research was published earlier this week.,,Scientists develop new renewable energy method The research was published earlier this week.,4
New medical breakthrough announced,Experts believe the technology could expand rapidly.,,New medical breakthrough announced Experts believe the technology could expand rapidly.,4
Government announces economic policy,Experts say the development could change the industry.,,Government announces economic policy Experts say the development could change the industry.,3
New medical breakthrough announced,Researchers say the discovery could have major impact.,,New medical breakthrough announced Researchers say the discovery could have major impact.,4
New medical breakthrough announced,The innovation could improve future technologies.,,New medical breakthrough announced The innovation could improve future technologies.,4
New medical breakthrough announced,Experts believe the technology could expand rapidly.,,New medical breakthrough announced Experts believe the technology could expand rapidly.,4
New smartphone released by major brand,Investors responded positively to the announcement.,,New smartphone released by major brand Investors responded positively to the announcement.,3
New medical breakthrough announced,Experts say the development could change the industry.,,New medical breakthrough announced Experts say the development could change the industry.,4
Tech startup raises millions in funding,The research was published earlier this week.,,Tech startup raises millions in funding The research was published earlier this week.,4
Scientists discover new planet,Officials discussed the plan during a press conference.,,Scientists discover new planet Officials discussed the plan during a press conference.,4
New medical breakthrough announced,Officials discussed the plan during a press conference.,,New medical breakthrough announced Officials discussed the plan during a press conference.,1
Sports league announces new season schedule,Fans celebrated after the major victory.,,Sports league announces new season schedule Fans celebrated after the major victory.,2
New smartphone released by major brand,Experts say the development could change the industry.,,New smartphone released by major brand Experts say the development could change the industry.,4
New smartphone released by major brand,Analysts are closely watching the market reaction.,,New smartphone released by major brand Analysts are closely watching the market reaction.,4
Sports league announces new season schedule,Researchers say the discovery could have major impact.,,Sports league announces new season schedule Researchers say the discovery could have major impact.,2
New smartphone released by major brand,Fans celebrated after the major victory.,,New smartphone released by major brand Fans celebrated after the major victory.,1
Scientists discover new planet,Fans celebrated after the major victory.,,Scientists discover new planet Fans celebrated after the major victory.,4
Local team wins championship,Investors responded positively to the announcement.,,Local team wins championship Investors responded positively to the announcement.,2
Stock markets rise after earnings report,Investors responded positively to the announcement.,,Stock markets rise after earnings report Investors responded positively to the announcement.,3
